HF energy: -52.893914481982335
# of electrons: 10
# of spin orbitals: 18
XZZIYYYZXIXY	(0.01841814308597845+0j)
YIIIYXYZXIXY	(-0.01841814308597845+0j)
IIIIZZZIZIIZ	(0.12037963054825324+0j)
IIIIZZZIZIZX	(0.011080400015432312+0j)
IIIIZZZIZIIX	(-0.011080400015432312+0j)
IIIIZZZIZYYX	(-0.007536012263313271+0j)
IIIIZZZIZXYY	(0.007536012263313271+0j)
IIIIZZZIIIXX	(0.004904633426889963+0j)
IIIIZZZIZZYY	(0.004904633426889963+0j)
IIIIZZYYXIXX	(-0.0013718110937967283+0j)
IIIIZZYXXIXY	(0.0013718110937967283+0j)
IIIIZZXIXIXX	(0.017013389273968182+0j)
IIIIZZYZXIXY	(0.017013389273968182+0j)
XIXXXIIIIIIZ	(-1.5447812279245613e-07+0j)
XIXYYZZIZIIZ	(-1.5447812279245613e-07+0j)
XIXXXIIIIIZX	(-0.007536024687813153+0j)
XIXYYZZIZIZX	(-0.007536024687813153+0j)
XIXXXIIIIIIX	(0.007536024687813153+0j)
XIXYYZZIZIIX	(0.007536024687813153+0j)
XIXXXIIIIYYX	(-0.004885253851189195+0j)
XIXYYZZIZYYX	(-0.004885253851189195+0j)
XIXXXIIIIXYY	(0.004885253851189195+0j)
XIXYYZZIZXYY	(0.004885253851189195+0j)
XIXXXIIIZIXX	(-0.006671547164492169+0j)
XIXYYZZIIIXX	(-0.006671547164492169+0j)
XIXXXIIIIZYY	(-0.006671547164492169+0j)
XIXYYZZIZZYY	(-0.006671547164492169+0j)
XIXXXIXYYIXX	(0.002302030323072625+0j)
XIXYYZYYXIXX	(0.002302030323072625+0j)
XIXXXIXXYIXY	(-0.002302030323072625+0j)
XIXYYZYXXIXY	(-0.002302030323072625+0j)
XIXXXIYIYIXX	(-6.810334423108791e-07+0j)
XIXYYZXIXIXX	(6.810334423108791e-07+0j)
XIXXXIXZYIXY	(6.810334423108791e-07+0j)
XIXYYZYZXIXY	(6.810334423108791e-07+0j)
XIXZXIIIIIZX	(-0.004904627603820798+0j)
XIYIYZZIZIZX	(-0.004904627603820798+0j)
XIXZXIIIIIIX	(0.004904627603820798+0j)
XIYIYZZIZIIX	(0.004904627603820798+0j)
XIXZXIIIIYYX	(0.006671574652666431+0j)
XIYIYZZIZYYX	(0.006671574652666431+0j)
XIXZXIIIIXYY	(-0.006671574652666431+0j)
XIYIYZZIZXYY	(-0.006671574652666431+0j)
XIXZXIIIZIXX	(0.0061954149143657565+0j)
XIYIYZZIIIXX	(0.0061954149143657565+0j)
XIXZXIIIIZYY	(0.0061954149143657565+0j)
XIYIYZZIZZYY	(0.0061954149143657565+0j)
XIXZXIXYYIXX	(-0.0023187362829380086+0j)
XIYIYZYYXIXX	(-0.0023187362829380086+0j)
XIXZXIXXYIXY	(0.0023187362829380086+0j)
XIYIYZYXXIXY	(0.0023187362829380086+0j)
XIXZXIYIYIXX	(-1.1317117131998908e-07+0j)
XIYIYZXIXIXX	(1.1317117131998908e-07+0j)
XIXZXIXZYIXY	(1.1317117131998908e-07+0j)
XIYIYZYZXIXY	(1.1317117131998908e-07+0j)
XXZIXIIIIIIZ	(-0.0006603876819231822+0j)
XYZIYZZIZIIZ	(-0.0006603876819231822+0j)
XXZIXIIIIIZX	(-0.0035850998350114988+0j)
XYZIYZZIZIZX	(-0.0035850998350114988+0j)
XXZIXIIIIIIX	(0.0035850998350114988+0j)
XYZIYZZIZIIX	(0.0035850998350114988+0j)
XXZIXIIIIYYX	(0.006020358948111919+0j)
XYZIYZZIZYYX	(0.006020358948111919+0j)
XXZIXIIIIXYY	(-0.006020358948111919+0j)
XYZIYZZIZXYY	(-0.006020358948111919+0j)
XXZIXIIIZIXX	(0.006064076624218444+0j)
XYZIYZZIIIXX	(0.006064076624218444+0j)
XXZIXIIIIZYY	(0.006064076624218444+0j)
XYZIYZZIZZYY	(0.006064076624218444+0j)
XXZIXIXYYIXX	(-0.0008021958509162456+0j)
XYZIYZYYXIXX	(-0.0008021958509162456+0j)
XXZIXIXXYIXY	(0.0008021958509162456+0j)
XYZIYZYXXIXY	(0.0008021958509162456+0j)
XXZIXIYIYIXX	(0.0005825481082873987+0j)
XYZIYZXIXIXX	(-0.0005825481082873987+0j)
XXZIXIXZYIXY	(-0.0005825481082873987+0j)
XYZIYZYZXIXY	(-0.0005825481082873987+0j)
XZZIXIIIIIIZ	(-3.7622402558874197e-06+0j)
YIIIYZZIZIIZ	(-3.7622402558874197e-06+0j)
XZZIXIIIIIZX	(0.0027974791767097747+0j)
YIIIYZZIZIZX	(0.0027974791767097747+0j)
XZZIXIIIIIIX	(-0.0027974791767097747+0j)
YIIIYZZIZIIX	(-0.0027974791767097747+0j)
